Charles Olson,Robert Creeley
Charles Olson,Robert Duncan
Robert Creeley,Dan Rice
Charles Olson,Katherine Litz
Charles Olson,Merce Cunningham
Charles Olson,Ben Shahn
Merce Cunningham,John Cage
Merce Cunningham,Robert Rauschenberg
John Cage,Robert Rauschenberg
M. C. Richards,Merce Cunningham
Merce Cunningham,David Tudor
John Cage,Buckminster Fuller
Merce Cunningham,Buckminster Fuller
M. C. Richards,Fielding Dawson
M. C. Richards,John Cage
M. C. Richards,David Tudor
Hilda Morley,Stefan Wolpe
Charles Olson,Stefan Wolpe
Robert Creeley,Hilda Morley
Anni Albers,Josef Albers
Robert Duncan,Josef Albers
Robert Creeley,Denise Levertov
Robert Creeley,Paul Blackburn
Robert Duncan,Denise Levertov
Robert Duncan,Robert Creeley
M. C. Richards,Karen Karnes
M. C. Richards,Lucy Rie
John Cage,David Tudor
Hilda Morley,William de Kooning
William de Kooning,Elaine de Kooning
Jonathan Williams,Robert Duncan
Edward Dahlberg,Robert Duncan
Edward Dahlberg,Jonathan Williams
Joel Oppenheimer,Katherine Litz